"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Create file with empty directory","LMS service","Sun Mar 29 14:07:09 UTC 2026","passed","Sun Mar 29 14:07:09 UTC 2026","Validate entity","Files","",""
"","291","Create user","LMS service","Sun Mar 29 14:07:10 UTC 2026","passed","Sun Mar 29 14:07:11 UTC 2026","Create entity","Users","",""
"","562","Create user","LMS service","Sun Mar 29 14:07:10 UTC 2026","passed","Sun Mar 29 14:07:11 UTC 2026","Create entity","Users","",""
"","50","Get exercise","LMS service","Sun Mar 29 14:07:06 UTC 2026","passed","Sun Mar 29 14:07:06 UTC 2026","Get entity","Exercises","",""
"","541","Create user","LMS service","Sun Mar 29 14:07:10 UTC 2026","passed","Sun Mar 29 14:07:10 UTC 2026","Create entity","Users","",""
"","259","Get file with incorrect file id","LMS service","Sun Mar 29 14:07:10 UTC 2026","passed","Sun Mar 29 14:07:10 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Sun Mar 29 14:07:05 UTC 2026","passed","Sun Mar 29 14:07:05 UTC 2026","Create entity","Exercises","",""
"","27","Create course","LMS service","Sun Mar 29 14:07:04 UTC 2026","passed","Sun Mar 29 14:07:04 UTC 2026","Create entity","Courses","",""
"","552","Login with correct email and password","LMS service","Sun Mar 29 14:07:02 UTC 2026","passed","Sun Mar 29 14:07:02 UTC 2026","Login","Authentication","",""
"","14","Get user me","LMS service","Sun Mar 29 14:07:12 UTC 2026","passed","Sun Mar 29 14:07:12 UTC 2026","Get entity","Users","",""
"","305","Get file","LMS service","Sun Mar 29 14:07:08 UTC 2026","passed","Sun Mar 29 14:07:09 UTC 2026","Get entity","Files","",""
"","34","Update course","LMS service","Sun Mar 29 14:07:02 UTC 2026","passed","Sun Mar 29 14:07:02 UTC 2026","Update entity","Courses","",""
"","260","Create file with empty filename","LMS service","Sun Mar 29 14:07:08 UTC 2026","passed","Sun Mar 29 14:07:08 UTC 2026","Validate entity","Files","",""
"","22","Delete file","LMS service","Sun Mar 29 14:07:10 UTC 2026","passed","Sun Mar 29 14:07:10 UTC 2026","Delete entity","Files","",""
"","28","Create file","LMS service","Sun Mar 29 14:07:07 UTC 2026","passed","Sun Mar 29 14:07:07 UTC 2026","Create entity","Files","",""
"","27","Get courses","LMS service","Sun Mar 29 14:07:04 UTC 2026","passed","Sun Mar 29 14:07:04 UTC 2026","Get entities","Courses","",""
"","28","Get exercises","LMS service","Sun Mar 29 14:07:07 UTC 2026","passed","Sun Mar 29 14:07:07 UTC 2026","Get entities","Exercises","",""
"","19","Delete exercise","LMS service","Sun Mar 29 14:07:06 UTC 2026","passed","Sun Mar 29 14:07:06 UTC 2026","Delete entity","Exercises","",""
"","21","Update exercise","LMS service","Sun Mar 29 14:07:05 UTC 2026","passed","Sun Mar 29 14:07:05 UTC 2026","Update entity","Exercises","",""
